clip_name,relative_path,label,frame_count
video_0,NonViolence\video_0,0,14
video_1,NonViolence\video_1,0,16
video_10,NonViolence\video_10,0,16
video_11,NonViolence\video_11,0,16
video_12,NonViolence\video_12,0,16
video_13,NonViolence\video_13,0,16
video_14,NonViolence\video_14,0,16
video_15,NonViolence\video_15,0,16
video_16,NonViolence\video_16,0,16
video_17,NonViolence\video_17,0,16
video_18,NonViolence\video_18,0,16
video_19,NonViolence\video_19,0,16
video_2,NonViolence\video_2,0,16
video_20,NonViolence\video_20,0,16
video_21,NonViolence\video_21,0,16
video_22,NonViolence\video_22,0,16
video_23,NonViolence\video_23,0,16
video_24,NonViolence\video_24,0,16
video_25,NonViolence\video_25,0,16
video_26,NonViolence\video_26,0,16
video_27,NonViolence\video_27,0,16
video_28,NonViolence\video_28,0,16
video_29,NonViolence\video_29,0,16
video_3,NonViolence\video_3,0,16
video_30,NonViolence\video_30,0,16
video_31,NonViolence\video_31,0,16
video_32,NonViolence\video_32,0,16
video_33,NonViolence\video_33,0,16
video_34,NonViolence\video_34,0,16
video_35,NonViolence\video_35,0,16
video_36,NonViolence\video_36,0,16
video_37,NonViolence\video_37,0,16
video_38,NonViolence\video_38,0,16
video_39,NonViolence\video_39,0,16
video_4,NonViolence\video_4,0,16
video_40,NonViolence\video_40,0,16
video_41,NonViolence\video_41,0,16
video_42,NonViolence\video_42,0,16
video_43,NonViolence\video_43,0,16
video_44,NonViolence\video_44,0,16
video_45,NonViolence\video_45,0,16
video_46,NonViolence\video_46,0,16
video_47,NonViolence\video_47,0,16
video_48,NonViolence\video_48,0,16
video_49,NonViolence\video_49,0,16
video_5,NonViolence\video_5,0,16
video_50,NonViolence\video_50,0,16
video_51,NonViolence\video_51,0,16
video_52,NonViolence\video_52,0,16
video_53,NonViolence\video_53,0,16
video_54,NonViolence\video_54,0,16
video_55,NonViolence\video_55,0,16
video_56,NonViolence\video_56,0,16
video_57,NonViolence\video_57,0,16
video_58,NonViolence\video_58,0,16
video_59,NonViolence\video_59,0,16
video_6,NonViolence\video_6,0,16
video_60,NonViolence\video_60,0,16
video_61,NonViolence\video_61,0,16
video_62,NonViolence\video_62,0,16
video_63,NonViolence\video_63,0,16
video_64,NonViolence\video_64,0,16
video_65,NonViolence\video_65,0,16
video_66,NonViolence\video_66,0,16
video_67,NonViolence\video_67,0,16
video_68,NonViolence\video_68,0,16
video_69,NonViolence\video_69,0,16
video_7,NonViolence\video_7,0,16
video_70,NonViolence\video_70,0,16
video_71,NonViolence\video_71,0,16
video_72,NonViolence\video_72,0,16
video_73,NonViolence\video_73,0,16
video_74,NonViolence\video_74,0,16
video_75,NonViolence\video_75,0,16
video_76,NonViolence\video_76,0,16
video_77,NonViolence\video_77,0,16
video_78,NonViolence\video_78,0,16
video_79,NonViolence\video_79,0,16
video_8,NonViolence\video_8,0,16
video_80,NonViolence\video_80,0,16
video_81,NonViolence\video_81,0,16
video_82,NonViolence\video_82,0,16
video_83,NonViolence\video_83,0,16
video_84,NonViolence\video_84,0,16
video_85,NonViolence\video_85,0,16
video_86,NonViolence\video_86,0,16
video_87,NonViolence\video_87,0,16
video_88,NonViolence\video_88,0,16
video_89,NonViolence\video_89,0,16
video_9,NonViolence\video_9,0,16
video_90,NonViolence\video_90,0,16
video_91,NonViolence\video_91,0,16
video_92,NonViolence\video_92,0,16
video_93,NonViolence\video_93,0,16
video_94,NonViolence\video_94,0,16
video_95,NonViolence\video_95,0,16
video_96,NonViolence\video_96,0,16
video_97,NonViolence\video_97,0,16
video_98,NonViolence\video_98,0,16
video_99,NonViolence\video_99,0,16
video_0,Violence\video_0,1,16
video_1,Violence\video_1,1,16
video_10,Violence\video_10,1,16
video_11,Violence\video_11,1,16
video_12,Violence\video_12,1,16
video_13,Violence\video_13,1,16
video_14,Violence\video_14,1,16
video_15,Violence\video_15,1,16
video_16,Violence\video_16,1,16
video_17,Violence\video_17,1,16
video_18,Violence\video_18,1,16
video_19,Violence\video_19,1,16
video_2,Violence\video_2,1,16
video_20,Violence\video_20,1,16
video_21,Violence\video_21,1,16
video_22,Violence\video_22,1,16
video_23,Violence\video_23,1,16
video_24,Violence\video_24,1,16
video_25,Violence\video_25,1,16
video_26,Violence\video_26,1,16
video_27,Violence\video_27,1,16
video_28,Violence\video_28,1,16
video_29,Violence\video_29,1,16
video_3,Violence\video_3,1,16
video_30,Violence\video_30,1,16
video_31,Violence\video_31,1,16
video_32,Violence\video_32,1,16
video_33,Violence\video_33,1,16
video_34,Violence\video_34,1,16
video_35,Violence\video_35,1,16
video_36,Violence\video_36,1,16
video_37,Violence\video_37,1,16
video_38,Violence\video_38,1,16
video_39,Violence\video_39,1,16
video_4,Violence\video_4,1,16
video_40,Violence\video_40,1,16
video_41,Violence\video_41,1,16
video_42,Violence\video_42,1,16
video_43,Violence\video_43,1,16
video_44,Violence\video_44,1,16
video_45,Violence\video_45,1,16
video_46,Violence\video_46,1,16
video_47,Violence\video_47,1,16
video_48,Violence\video_48,1,16
video_49,Violence\video_49,1,16
video_5,Violence\video_5,1,16
video_50,Violence\video_50,1,16
video_51,Violence\video_51,1,16
video_52,Violence\video_52,1,16
video_53,Violence\video_53,1,16
video_54,Violence\video_54,1,16
video_55,Violence\video_55,1,16
video_56,Violence\video_56,1,16
video_57,Violence\video_57,1,16
video_58,Violence\video_58,1,16
video_59,Violence\video_59,1,16
video_6,Violence\video_6,1,16
video_60,Violence\video_60,1,16
video_61,Violence\video_61,1,16
video_62,Violence\video_62,1,16
video_63,Violence\video_63,1,16
video_64,Violence\video_64,1,16
video_65,Violence\video_65,1,16
video_66,Violence\video_66,1,16
video_67,Violence\video_67,1,16
video_68,Violence\video_68,1,16
video_69,Violence\video_69,1,16
video_7,Violence\video_7,1,16
video_70,Violence\video_70,1,16
video_71,Violence\video_71,1,16
video_72,Violence\video_72,1,16
video_73,Violence\video_73,1,16
video_74,Violence\video_74,1,16
video_75,Violence\video_75,1,16
video_76,Violence\video_76,1,16
video_77,Violence\video_77,1,16
video_78,Violence\video_78,1,16
video_79,Violence\video_79,1,16
video_8,Violence\video_8,1,16
video_80,Violence\video_80,1,16
video_81,Violence\video_81,1,13
video_82,Violence\video_82,1,15
video_83,Violence\video_83,1,16
video_84,Violence\video_84,1,16
video_85,Violence\video_85,1,16
video_86,Violence\video_86,1,16
video_87,Violence\video_87,1,16
video_88,Violence\video_88,1,16
video_89,Violence\video_89,1,16
video_9,Violence\video_9,1,16
video_90,Violence\video_90,1,16
video_91,Violence\video_91,1,16
video_92,Violence\video_92,1,16
video_93,Violence\video_93,1,16
video_94,Violence\video_94,1,16
video_95,Violence\video_95,1,16
video_96,Violence\video_96,1,16
video_97,Violence\video_97,1,16
video_98,Violence\video_98,1,16
video_99,Violence\video_99,1,16
