video_path,label,category
aiEngine/dataset/raw\Violence\V_863.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_61.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_899.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_96.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_893.avi,0,NonViolence
aiEngine/dataset/raw\Violence\V_542.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_982.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_794.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_272.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_797.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_787.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_584.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_420.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_348.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_359.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_668.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_473.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_6.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_755.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_571.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_697.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_651.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_698.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_279.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_32.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_782.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_284.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_969.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_833.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_392.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_832.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_337.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_964.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_956.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_560.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_46.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_249.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_219.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_544.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_56.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_521.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_33.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_385.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_16.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_427.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_309.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_257.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_595.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_52.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_641.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_115.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_785.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_372.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_163.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_449.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_686.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_970.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_867.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_146.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_498.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_536.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_387.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_572.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_338.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_594.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_733.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_730.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_303.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_921.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_103.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_36.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_622.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_941.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_47.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_802.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_885.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_717.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_41.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_665.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_652.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_815.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_514.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_448.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_434.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_339.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_213.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_622.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_432.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_134.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_131.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_579.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_39.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_763.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_132.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_834.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_312.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_153.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_323.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_672.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_894.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_716.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_837.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_705.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_527.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_585.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_524.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_936.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_292.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_123.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_187.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_298.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_596.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_171.mp4,1,Violence
